landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,no2,geometry
6,Built area,24.50620804,30.6616756,1.959059493,8.12E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.92, 28.40625], [76.9275, 28.40625], [76.9275, 28.4125], [76.92, 28.4125], [76.92, 28.40625]]]}"
6,Built area,31.11005937,30.59978127,1.897165162,8.18E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9275, 28.40625], [76.93499999999999, 28.40625], [76.93499999999999, 28.4125], [76.9275, 28.4125], [76.9275, 28.40625]]]}"
6,Built area,30.63567645,30.69366,1.991043886,8.23E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.935, 28.40625], [76.9425, 28.40625], [76.9425, 28.4125], [76.935, 28.4125], [76.935, 28.40625]]]}"
6,Built area,34.20007697,30.85870409,2.156087979,8.26E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9425, 28.40625], [76.94999999999999, 28.40625], [76.94999999999999, 28.4125], [76.9425, 28.4125], [76.9425, 28.40625]]]}"
6,Built area,30.26199821,30.39717949,1.694563377,8.30E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.95, 28.40625], [76.9575, 28.40625], [76.9575, 28.4125], [76.95, 28.4125], [76.95, 28.40625]]]}"
6,Built area,25.89663865,30.40589614,1.703280026,8.30E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9575, 28.40625], [76.96499999999999, 28.40625], [76.96499999999999, 28.4125], [76.9575, 28.4125], [76.9575, 28.40625]]]}"
6,Built area,22.54804056,30.53074324,1.828127133,8.45E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.965, 28.40625], [76.9725, 28.40625], [76.9725, 28.4125], [76.965, 28.4125], [76.965, 28.40625]]]}"
6,Built area,20.95606479,30.41934459,1.716728484,8.63E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9725, 28.40625], [76.97999999999999, 28.40625], [76.97999999999999, 28.4125], [76.9725, 28.4125], [76.9725, 28.40625]]]}"
6,Built area,21.32873911,30.23420513,1.531589018,8.80E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.98, 28.40625], [76.9875, 28.40625], [76.9875, 28.4125], [76.98, 28.4125], [76.98, 28.40625]]]}"
6,Built area,23.86878985,30.34338217,1.640766063,8.98E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9875, 28.40625], [76.99499999999999, 28.40625], [76.99499999999999, 28.4125], [76.9875, 28.4125], [76.9875, 28.40625]]]}"
6,Built area,26.05830576,30.35461538,1.651999274,8.98E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.995, 28.40625], [77.0025, 28.40625], [77.0025, 28.4125], [76.995, 28.4125], [76.995, 28.40625]]]}"
4,Crops,23.19069413,30.57285972,,9.24E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0025, 28.40625], [77.00999999999999, 28.40625], [77.00999999999999, 28.4125], [77.0025, 28.4125], [77.0025, 28.40625]]]}"
6,Built area,22.60565091,30.1643184,1.461702287,9.32E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01, 28.40625], [77.0175, 28.40625], [77.0175, 28.4125], [77.01, 28.4125], [77.01, 28.40625]]]}"
